Title,Actual Price,Description,Available Colors
New!St. John's Bay Premium Stretch Mens Slim Fit Short Sleeve Polo Shirt,$17.99,"Deemed a Gotta-Have-It item for value you can count on every day! You'll appreciate this St. John's Bay men's short-sleeve polo shirt for everyday wear. Made from a premium stretch cotton-pique blend with recycled fabric, this slim-fit style will pair perfectly with jeans or chinos.
Features: Easy Care, Moisture Wicking, Quick Dry, Tag Free, Stretch Fabric
Closure Type: Button, Pullover Head
Fit: Slim Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Apparel Length: 29 Inches
Fiber Content: 58% Cotton, 39% Recycled Polyester, 3% Spandex
Fabric Description: Pique
Collar: Spread Collar
Care: Machine Wash, Tumble Dry","""Midnight Teal Htr"" , ""Eggplant Htr"" , ""Dark Evergreen Htr"" , ""Buckthorn Brn Htr"" "
New!Arizona Big and Tall Mens Regular Fit Short Sleeve Button-Down Shirt,$32.99,"Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Apparel Length: 33 Inches
Fiber Content: 100% Rayon
Fabric Description: Woven, Challis
Collar: Notch Collar
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""German Chocolate"" "
Stylus Big and Tall Mens Regular Fit Short Sleeve Button-Down Shirt,$39.99,"This Stylus short-sleeve button down from their men's big and tall collection is cut for a regular-fit and made with stretch woven fabric with a spread collar, chest patch pocket, and a curved hem. Wear it with suit pants or jeans for a versatile look.
Features: Stretch Fabric
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Short Sleeve
Apparel Length: 28.5 Inches - Front
Fiber Content: 86% Polyester, 14% Spandex
Fabric Description: Plain Weave
Collar: Point Collar
Care: Tumble Dry, Machine Wash","""Cornet Blue Sd"" , ""Agave Green Sd"" "
New!Van Heusen Mens Moisture Wicking Regular Fit Short Sleeve Floral Button-Down Shirt,$29.99,"Comfortable drape with brushed finish.
Features: Dri Fit, Quick Dry, Moisture Wicking
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Short Sleeve
Fiber Content: 70% Polyester, 30% Recycled Polyester
Fabric Description: Woven
Collar: Point Collar
Care: Machine Wash
Country of Origin: Imported","""Hydro"" "
Stafford Mens Moisture Wicking Regular Fit Short Sleeve Windowpane Button-Down Shirt,$24.99,"2nd Piece Sleeve Length: Short Sleeves
Features: Moisture Wicking, Wrinkle Resistant, Stretch Fabric, Wrinkle Free, Antimicrobial, Stretch Collar
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Short Sleeve
Apparel Length: 30 Inches - Back
Fiber Content: 67% Cotton, 29% Recycled Polyester, 4% Spandex
Fabric Description: Poplin
Collar: Point Collar
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""Multi Windowpane"" "
New!Arizona Big and Tall Mens Regular Fit Short Sleeve Button-Down Shirt,$32.99,"Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Apparel Length: 33 Inches
Fiber Content: 100% Rayon
Fabric Description: Challis, Woven
Collar: Point Collar
Care: Machine Wash, Tumble Dry
Country of Origin: Imported","""Black Ditsy"" "
J. Ferrar Ultra Comfort Mens Slim Fit Easy Care Stretch Fabric Long Sleeve Dress Shirt,$39.99,"Deemed a Gotta-Have-It item for value you can count on every day! J. Ferrar tailored this button-down men's shirt with your silhouette in mind. It's cut for a slim-fit from stretch-cotton poplin with recycled fabric and it has a classic point collar, long cuffed sleeves, and an interior pocket. Pair this easy-care style with everything from denim to suit pants.
Features: Stretch Fabric, Easy Care
Closure Type: Button
Fit: Slim Fit
Neckline: Collar Neck
Pockets: 1 Inside Coin Pocket
Sleeve Length: Long Sleeve
Sleeve Style: Cuffed Sleeve
Apparel Length: 32 Inches - Back
Fiber Content: 63% Cotton, 33% Recycled Polyester, 4% Spandex","""Gray Chambray"" , ""Deep Lagoon"" "
Van Heusen Mens Regular Fit Short Sleeve Pocket Polo Shirt,$29.99,"You'll appreciate this Van Heusen men's short-sleeve printed shirt for warm weather outings. Made from a recycled stretch-cotton that's stain-resistant and wrinkle-free to keep your look fresh, this button-down also has a chest pocket and a point collar. Pair it with shorts or jeans.
Features: Wrinkle Free, Stretch Fabric, Stain Resistant
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Pockets: 1 Chest Slip Pocket
Sleeve Length: Short Sleeve
Fiber Content: 65% Cotton, 31% Recycled Polyester, 4% Elastane
Fabric Description: Woven
Collar: Spread Collar
Care: Machine Wash","""Fire Whirl"" "
J. Ferrar Slim Mens Regular Fit Wrinkle Free Long Sleeve Dress Shirt,$39.99,"This J. Ferrar men's pine green dress shirt is designed to keep your look sharp and comfortable all day. Cut for a regular-fit from wrinkle-free stretch woven fabric, this button-down has a spread collar, long sleeves, and button cuffs. Style it with suit pants and a jacket.
Features: Wrinkle Resistant, Wrinkle Free
Closure Type: Button
Fit: Regular Fit
Neckline: Collar Neck
Sleeve Length: Long Sleeve
Sleeve Style: Cuffed Sleeve
Apparel Length: 31 Inches - Back
Fiber Content: 90% Polyester, 10% Spandex
Fabric Description: Plain Weave
Collar: Point Collar
Care: Tumble Dry, Machine Wash","""Pine"" "
Lee® Big and Tall Mens Extreme Motion Athletic Fit Jeans,$48.99,"The Extreme Motion Athletic Tapered Leg Jean in big and tall sizing provides the perfect way for you to show your athletic build in styles.  The jean offers a extreme flex waistband that adapts to your movement and it’s made of comfortable cotton that’s blended with performance stretch fabric to keep you comfortable.  Regular fit with mid rise in a tapered leg opening. Front closure is a zip fly with button closure.
Features: Fly Front, Stretch Fabric
Closure Type: Button & Zipper
Pockets: 2 Front Slip Pockets, 1 Front Coin Pocket, 2 Back Slip Pockets
Rise: At Waist
Fiber Content: 69% Cotton, 20% Polyester, 8% Rayon, 3% Spandex
Fabric Description: Denim
Inseam: 30 In, 32 In, 34 In","""Mega"" , ""Blue Strike"" , ""Zander"" "
